,POST_ID,MS_PAY_STATION_ID,MS_SPACE_NUM,ON_OFFSTREET_TYPE,OSP_ID,PM_DISTRICT_ID,BLOCKFACE_ID,METER_TYPE,OLD_RATE_AREA,STREET_ID,STREET_NAME,STREET_NUM,ORIENTATION,LONGITUDE,LATITUDE,COLLECTION_ROUTE_DESC,COLLECTION_SUBROUTE_DESC,Neighborhoods,Analysis Neighborhoods
0,818-01520,-,0,ON,0,2,818012,SS,-,818,BRANNAN ST,152,315,-122.3891298,37.7842902,,,31,8
1,561-03160,-,0,ON,0,2,561032,SS,-,561,MAIN ST,316,225,-122.3914286,37.7889377,,,30,8
2,418-02270,-,0,ON,0,2,418021,SS,Area 1,418,FOLSOM ST,227,135,-122.3925023,37.7887466,,,30,8
3,386-02170,-,0,ON,0,1,386021,SS,-,386,DRUMM ST,217,270,-122.3969971,37.7960467,,,108,8
4,328-02330,-,0,ON,0,1,328021,SS,Area 1,328,BEALE ST,233,45,-122.3932193,37.7892027,,,108,8
5,470-05040,-,0,ON,0,1,470052,SS,-,470,HOWARD ST,504,315,-122.3962652,37.788451,,,32,8
6,202-05790,-,0,ON,0,2,202051,SS,-,202,02ND ST,579,45,-122.3922922,37.7821414,,,31,8
7,204-03230,-,0,ON,0,2,204031,SS,Area 1,204,04TH ST,323,45,-122.4005298,37.7816396,4th St: Unit 400 5th St:,4th St,32,34
8,330-05210,-,0,ON,0,2,330051,SS,-,330,BRANNAN ST,521,135,-122.3970078,37.7778196,,,32,34
9,330-03620,-,0,ON,0,2,330034,SS,-,330,BRANNAN ST,362,315,-122.3933961,37.7809196,,,31,8
10,204-05500,204-05006,50,ON,0,2,204052,MS,-,204,04TH ST,550,225,-122.3967591,37.778395,,,32,34
11,684-04199,684-04090,9,ON,0,14,684041,MS,-,684,TOWNSEND ST,419,135,-122.39766788,37.77480855,,,34,4
12,418-06100,-,0,ON,0,2,418062,SS,-,418,FOLSOM ST,610,315,-122.3971666,37.7852988,,,32,8
13,202-03290,-,0,ON,0,2,202031,SS,-,202,02ND ST,329,45,-122.3959081,37.7850294,,,30,8
14,324-03010,-,0,ON,0,1,324031,SS,-,324,BATTERY ST,301,270,-122.4002474,37.7942163,,,108,6
15,568-05240,-,0,ON,0,1,568052,SS,-,568,MISSION ST,524,315,-122.3982686,37.7893125,,,108,8
16,330-08100,-,0,ON,0,42,330082,SS,-,330,BRANNAN ST,810,315,-122.4036068,37.7728561,,,33,34
17,686-01190,-,0,ON,0,13,686011,SS,-,686,TURK ST,119,180,-122.411521,37.7830557,,,20,36
18,686-02110,-,0,ON,0,13,686021,SS,-,686,TURK ST,211,180,-122.4127716,37.7828952,,,20,36
19,442-02380,-,0,ON,0,13,442022,SS,-,442,GOLDEN GATE AVE,238,0,-122.4150872,37.7817757,,,20,36
20,701-18140,-,0,ON,0,15,701182,SS,-,701,VAN NESS AVE,1814,90,-122.4226323,37.7926742,,,105,32
21,815-13180,-,0,ON,0,11,815132,SS,-,815,BATTERY ST,1318,90,-122.4019774,37.803621,,,77,8
22,845-05210,-,0,ON,0,2,845051,SS,-,845,ILLINOIS ST,521,90,-122.38789341,37.76502615,,,34,4
23,845-05040,-,0,ON,0,2,845052,SS,-,845,ILLINOIS ST,504,270,-122.38810312,37.76540062,,,34,26
24,204-14080,-,0,ON,0,2,204142,SS,-,204,04TH ST,1408,270,-122.39125252,37.77026246,,,34,4
25,204-14100,-,0,ON,0,2,204142,SS,-,204,04TH ST,1410,270,-122.39124717,37.77019992,,,34,4
26,607-32560,916-00002,56,OFF,916,7,607322,MS,-,607,PIERCE ST,3252,90,-122.4393202,37.8001444,,,17,13
27,607-32940,-,0,OFF,916,7,607322,SS,-,607,PIERCE ST,3252,90,-122.439268,37.7998894,,,17,13
28,615-09002,920-00002,0,OFF,920,29,615091,MS,-,615,POTRERO AVE,993,90,-122.4060531,37.757816,,,54,20
29,607-32370,916-00003,37,OFF,916,7,607322,MS,-,607,PIERCE ST,3252,90,-122.4390167,37.799905,,,17,13
30,607-32800,-,0,OFF,916,7,607322,SS,-,607,PIERCE ST,3252,90,-122.439103,37.8001923,,,17,13
31,607-32680,916-00001,68,OFF,916,7,607322,MS,-,607,PIERCE ST,3252,90,-122.4391098,37.799934,,,17,13
32,701-10290,-,0,ON,0,15,701101,SS,-,701,VAN NESS AVE,1029,270,-122.4215042,37.7854816,,,100,39
33,440-10390,-,0,ON,0,15,440101,SS,-,440,GEARY ST,1039,180,-122.4210129,37.7856712,,,20,36
34,336-26130,-,0,ON,0,18,336261,SS,-,336,BUSH ST,2613,180,-122.4406267,37.7860398,,,103,30
35,652-16470,-,0,ON,0,18,652161,SS,-,652,SCOTT ST,1647,270,-122.43826095,37.78531012,,,103,15
36,701-08010,-,0,ON,0,15,701081,SS,-,701,VAN NESS AVE,801,270,-122.42101206,37.78304756,,,100,39
37,440-17470,-,0,ON,0,5,440171,SS,Area 3,440,GEARY BLVD,1747,180,-122.4326855,37.7841836,,,101,39
38,563-05170,-,0,ON,0,3,563051,SS,-,563,MCALLISTER ST,517,180,-122.4210518,37.7799345,,,21,9
39,211-00440,-,0,ON,0,14,211002,SS,-,211,11TH ST,44,225,-122.4176935,37.7746716,,,32,20
40,568-15440,-,0,ON,0,14,568152,SS,-,568,MISSION ST,1544,315,-122.418333,37.7734666,,,32,20
41,700-01600,-,0,ON,0,16,700012,SS,-,700,VALENCIA ST,160,270,-122.4224955,37.7700997,,,32,20
42,211-01070,-,0,ON,0,14,211011,SS,-,211,11TH ST,107,45,-122.4168177,37.7742067,,,32,34
43,211-00500,-,0,ON,0,14,211002,SS,-,211,11TH ST,50,225,-122.4176016,37.7745983,,,32,20
44,700-10050,-,0,ON,0,4,700101,SS,-,700,VALENCIA ST,1005,90,-122.4209909,37.7566974,,,53,20
45,700-02580,-,0,ON,0,16,700022,SS,-,700,VALENCIA ST,258,270,-122.4223249,37.7683186,,,37,20
46,540-00020,-,0,ON,0,16,540002,SS,-,540,LAGUNA ST,2,90,-122.4251024,37.7710409,,,27,9
47,569-22190,-,0,ON,0,16,569221,SS,-,569,MARKET ST,2219,135,-122.43147718,37.765322,,,38,5
48,569-23420,-,0,ON,0,16,569232,SS,-,569,MARKET ST,2342,315,-122.43461712,37.76318758,,,28,5
49,332-00010,-,0,ON,0,35,332001,SS,-,332,BRAZIL AVE,1,45,-122.434632,37.7246606,,,90,7
50,440-37100,-,0,ON,0,9,440372,SS,-,440,GEARY BLVD,3710,0,-122.4593264,37.7813795,,,5,11
51,302-05010,-,0,ON,0,9,302051,SS,-,302,ARGUELLO BLVD,501,270,-122.4589552,37.7810239,,,5,11
52,360-10380,-,0,ON,0,9,360102,SS,-,360,CLEMENT ST,1038,0,-122.4706827,37.7827342,,,5,11
53,118-03750,-,0,ON,0,21,118031,SS,-,118,18TH AVE,375,270,-122.4773574,37.781172,,,5,29
54,490-20390,-,0,ON,0,24,490201,SS,-,490,IRVING ST,2039,180,-122.4801494,37.7633542,,,39,35
55,490-20370,-,0,ON,0,24,490201,SS,-,490,IRVING ST,2037,180,-122.4801091,37.763356,,,39,35
56,521-00110,-,0,ON,0,24,521001,SS,Area 3,521,KIRKHAM ST,11,180,-122.46085976,37.76047037,Parnassas St: 300 - 700,Kirkham,109,14
57,680-09070,-,0,ON,0,26,680091,SS,-,680,TARAVAL ST,907,180,-122.4760054,37.7429534,,,40,35
58,120-24170,-,0,ON,0,26,120241,SS,-,120,20TH AVE,2417,270,-122.47681016,37.74256937,,,40,35
59,561-03490,-,0,ON,0,2,561031,SS,Area 1,561,MAIN ST,349,45,-122.3905742,37.7884589,Folsom St: Unit-800 1st:,Harrision 200/ Main Unit,30,8
60,386-02210,-,0,ON,0,1,386021,SS,-,386,DRUMM ST,221,270,-122.3970219,37.7961685,,,108,8
61,864-04730,-,0,ON,0,2,864041,SS,Port 8,864,SPEAR ST,473,45,-122.3885812,37.7882656,South Sea Wall Port,Spear Street | 400,30,8
62,442-02050,-,0,ON,0,13,442021,SS,Area 2,442,GOLDEN GATE AVE,205,180,-122.4141448,37.7817593,Golden Gate Ave: Unit - 700,Golden Gate Unit-700,21,36
63,471-08350,-,0,ON,0,2,471081,SS,Area 2,471,HARRISON ST,835,135,-122.4006714,37.7798299,Harrison St: 400 - 800,Harrison 400-700,32,34
64,471-06410,-,0,ON,0,2,471061,SS,Area 1,471,HARRISON ST,641,135,-122.396279,37.7832899,Harrison St: 400 - 800,Harrison 400-700,32,8
65,331-06050,-,0,ON,0,2,331061,SS,Area 2,331,BRYANT ST,605,135,-122.3981835,37.7793365,Bryant St: 300-600 Stillman St,Bryant: 600,32,34
66,614-06280,-,0,ON,0,13,614062,SS,Area 2,614,POST ST,628,0,-122.4126722,37.7878168,Post St: Unit-600 Geary St,Post: Unit - 600,50,21
67,568-06590,-,0,ON,0,1,568063,SS,Area 1,568,MISSION ST,659,135,-122.4010857,37.7868832,Mission St: Unit - 1600,Mission: 100-600,32,8
68,571-08100,-,0,ON,0,12,571082,SS,Area 2,571,MONTGOMERY ST,810,90,-122.4035104,37.7967538,Montgomery St: 800 - 900,Montgomery: 700 - 800,106,6
69,418-06450,-,0,ON,0,2,418063,SS,Area 1,418,FOLSOM ST,645,135,-122.3978736,37.7844981,Folsom St: Unit-800 1st:,Folsom 500-800,32,8
70,524-01320,-,0,ON,0,2,524012,SS,Area 1,524,KING ST,132,315,-122.3906472,37.7792435,Townsend St: Unit-300 King St,King St,31,4
71,330-03800,-,0,ON,0,2,330034,SS,Area 1,330,BRANNAN ST,380,315,-122.3938226,37.7805826,Brannan St: 200 - 500,5th & Brannan,31,8
72,330-04870,-,0,ON,0,2,330041,SS,Area 1,330,BRANNAN ST,487,135,-122.3960543,37.7785774,Brannan St: 200 - 500,5th & Brannan,32,34
73,359-01020,-,0,ON,0,1,359012,SS,-,359,CLAY ST,102,0,-122.397005,37.7954825,,,108,8
74,470-09820,-,0,ON,0,14,470092,SS,Area 2,470,HOWARD ST,982,315,-122.4067764,37.78015285,Howard St: 800 - 1600,Howard 1400-900,32,34
75,472-05110,-,0,ON,0,15,472051,SS,Area 3,472,HYDE ST,511,270,-122.4164153,37.7857698,Hyde St: Unit - 1000,Hyde Unit-600,20,36
76,330-05500,-,0,ON,0,2,330052,SS,Area 2,330,BRANNAN ST,550,315,-122.3978888,37.7773736,Brannan St: 200 - 500,5th & Brannan,32,34
77,444-07070,-,0,ON,0,1,444071,SS,Area 2,444,GRANT AVE,707,270,-122.4062299,37.7936812,Grant Ave: Unit -1500,Grant: 400 - 1100,104,6
78,563-01360,-,0,ON,0,13,563012,SS,Area 2,563,MCALLISTER ST,136,0,-122.41500298,37.78082415,McAllister St: Unit - 600,McAllister Unit-500,21,36
79,331-04830,-,0,ON,0,2,331043,SS,Area 1,331,BRYANT ST,483,135,-122.3954018,37.7815343,Bryant St: 300-600 Stillman St,Bryant: 600,31,8
80,203-01280,-,0,ON,0,1,203012,SS,Area 1,203,03RD ST,128,225,-122.4013466,37.785581,3rd St: Unit -600 2nd St:,Bryant 300-600 / Harrison 600,32,8
81,720-01170,-,0,ON,0,1,720011,SS,Area 1,720,WASHINGTON ST,117,180,-122.3976616,37.7962224,Washington St: Unit - 800,Washington: 600 - 900,108,8
82,819-00110,-,0,ON,0,11,819001,SS,Port 6,819,BROADWAY,11,180,-122.3982063,37.7988892,Grant Street Port,Davis/Front/Union Streets | 700/1000/Unit,77,8
83,470-06090,-,0,ON,0,1,470061,SS,Area 1,470,HOWARD ST,609,135,-122.39847923,37.78648182,Howard St: Unit - 600 Bryan St,Howard Unit-600,32,8
84,444-06250,-,0,ON,0,1,444061,SS,Area 2,444,GRANT AVE,625,270,-122.406134,37.7931975,Grant Ave: Unit -1500,Grant: 400 - 1100,104,6
85,546-05170,-,0,ON,0,13,546051,SS,Area 3,546,LEAVENWORTH ST,517,270,-122.4148176,37.7861783,Hyde St: Unit - 1000,Leavenworth Unit-300,20,36
86,201-03510,-,0,ON,0,2,201031,SS,Area 1,201,01ST ST,351,45,-122.3930685,37.7862943,Folsom St: Unit-800 1st:,Essex 1st Fremont Beale,30,8
87,330-05260,-,0,ON,0,2,330052,SS,Area 2,330,BRANNAN ST,526,315,-122.3973651,37.7777873,Brannan St: 200 - 500,5th & Brannan,32,34
88,612-15290,-,0,ON,0,15,612151,SS,Area 3,612,POLK ST,1529,270,-122.4208929,37.7912059,Polk St: 100 - 2400,Polk Unit-900,105,21
89,201-03530,-,0,ON,0,2,201031,SS,Area 1,201,01ST ST,353,45,-122.3930217,37.7862569,Folsom St: Unit-800 1st:,Essex 1st Fremont Beale,30,8
90,442-01260,-,0,ON,0,13,442012,SS,Area 2,442,GOLDEN GATE AVE,126,0,-122.41311239,37.78203022,Golden Gate Ave: Unit - 700,Golden Gate Unit-700,20,36
91,373-02600,-,0,ON,0,2,373022,SS,Area 3,373,CHANNEL ST,260,315,-122.39342597,37.7730527,4th St: 1200-1700 China Basin,China Basin,34,4
92,471-08670,-,0,ON,0,2,471081,SS,Area 2,471,HARRISON ST,867,135,-122.4014767,37.7791962,Harrison St: 400 - 800,Harrison 400-700,32,34
93,206-01530,-,0,ON,0,14,206011,SS,Area 2,206,06TH ST,153,45,-122.40741342,37.78006321,4th St: Unit 400 5th St:,4th St,32,34
94,420-03220,-,0,ON,0,2,420032,SS,Area 1,420,FREMONT ST,322,225,-122.3930353,37.7874243,,,30,8
95,463-01210,-,0,ON,0,2,463011,SS,Area 1,463,HAWTHORNE ST,121,45,-122.3970944,37.7841649,3rd St: Unit -600 2nd St:,New Montgomery / Hawthorne,32,8
96,684-00800,-,0,ON,0,2,684002,SS,Area 1,684,TOWNSEND ST,80,315,-122.3903242,37.78088895,Townsend St: Unit-300 King St,SBC Park: Townsend Unit-200,31,8
97,684-04317,684-04017,3,ON,0,14,684041,MS,Area 3,684,TOWNSEND ST,431,135,-122.3984675,37.7741795,Townsend St: 100 - 500,Townsend St. 300 - 500,34,4
98,470-01220,-,0,ON,0,1,470012,SS,Area 1,470,HOWARD ST,122,315,-122.39329132,37.79080352,Howard St: Unit - 600 Bryan St,Howard Unit-600,108,8
99,666-01060,-,0,ON,0,1,666012,SS,Area 1,666,SUTTER ST,106,0,-122.4024953,37.7900533,Bush St: 100 - 900 Sutter St,Sutter: Unit - 800,19,8
100,205-03230,-,0,ON,0,2,205031,SS,-,205,05TH ST,323,45,-122.4027128,37.7798456,,,32,34
101,470-11360,-,0,ON,0,14,470112,SS,Area 2,470,HOWARD ST,1136,315,-122.4102736,37.7773887,Howard St: 800 - 1600,Howard 1400-900,32,34
102,684-04333,684-04310,3,ON,0,14,684041,MS,-,684,TOWNSEND ST,433,135,-122.39770351,37.77478053,,,34,4
103,869-04160,-,0,ON,0,2,869042,SS,Port 11,869,TERRY A FRANCOIS BLVD,416,270,-122.38718761,37.77263039,TERRY A FRANCOIS 400-500,TERRY A FRANCOIS 400-500,34,4
104,444-11210,-,0,ON,0,12,444111,SS,Area 2,444,GRANT AVE,1121,270,-122.4070138,37.7975994,Grant Ave: Unit -1500,Grant: 400 - 1100,104,6
105,720-04510,720-04005,51,ON,0,1,720041,MS,Area 1,720,WASHINGTON ST,451,180,-122.40147441,37.79567096,Washington St: 200 - 400,Washington St. 400,108,6
106,205-05110,-,0,ON,0,2,205051,SS,Area 2,205,05TH ST,511,45,-122.3999048,37.7776071,4th St: Unit 400 5th St:,5th St,32,34
107,328-03210,-,0,ON,0,2,328031,SS,Area 1,328,BEALE ST,321,45,-122.3923311,37.788492,Folsom St: Unit-800 1st:,Essex 1st Fremont Beale,30,8
108,418-09360,-,0,ON,0,14,418092,SS,Area 2,418,FOLSOM ST,936,315,-122.40436928,37.77961133,4th St: Unit 400 5th St:,Harrison - 1000,32,34
109,502-06080,-,0,ON,0,13,502062,SS,Area 2,502,JONES ST,608,90,-122.4131379,37.786998,Jones St: Unit - 800,Jones: Unit - 800,50,36
110,542-11190,-,0,ON,0,15,542111,SS,Area 3,542,LARKIN ST,1119,270,-122.418654,37.788513,Larkin St: Unit - 1100,Larkin Unit-1100,50,21
111,568-00290,-,0,ON,0,1,568003,SS,Area 1,568,MISSION ST,29,135,-122.3933131,37.7930238,Mission St: Unit - 1600,Mission: 100-600,108,8
112,471-08280,-,0,ON,0,2,471082,SS,Area 2,471,HARRISON ST,828,315,-122.4005767,37.7801615,Harrison St: 400 - 800,Harrison 400-700,32,34
113,400-02030,-,0,ON,0,13,400021,SS,Area 2,400,EDDY ST,203,180,-122.4111594,37.7840583,Eddy St: 100 - 900,Eddy: 100-800,20,36
114,616-12280,-,0,ON,0,12,616122,SS,Area 3,616,POWELL ST,1228,90,-122.4099592,37.7963572,Powell St: 1000 - 1700,Powell: 1000 - 1700,104,6
115,418-01070,-,0,ON,0,2,418011,SS,Area 1,418,FOLSOM ST,107,135,-122.3911338,37.7898198,Folsom St: Unit-800 1st:,Folsom-Steuart,30,8
116,350-09280,-,0,ON,0,12,350092,SS,Area 2,350,CALIFORNIA ST,928,0,-122.4102358,37.7919925,California: Unit - 900 Pine St,California: Unit - 700,16,21
117,684-05353,684-05350,3,ON,0,14,684051,MS,-,684,TOWNSEND ST,535,135,-122.40001419,37.7729614,,,34,4
118,502-08210,-,0,ON,0,13,502081,SS,Area 2,502,JONES ST,821,270,-122.4137475,37.7892379,Jones St: Unit - 800,Jones: Unit - 800,50,21
119,691-00410,-,0,ON,0,12,691001,SS,Area 3,691,UNION ST,41,180,-122.4012894,37.8013624,Broadway St: Unit - 800,Battery: 800 - 1200,77,8
120,210-02580,-,0,ON,0,14,210022,SS,Area 2,210,10TH ST,258,225,-122.4131193,37.7729308,9th St: Unit - 300 10th St,9th St Unit-300,32,34
121,444-06150,-,0,ON,0,1,444061,SS,Area 2,444,GRANT AVE,615,270,-122.406087,37.792969,Grant Ave: Unit -1500,Grant: 400 - 1100,104,6
122,500-03200,500-03002,20,ON,0,1,500032,MS,Area 2,500,JACKSON ST,320,0,-122.4010842,37.7967715,Jackson St: 300 - 400,Jackson St: 300 - 400,106,6
123,202-06230,-,0,ON,0,2,202061,SS,-,202,02ND ST,623,45,-122.3914264,37.7814478,,,31,8
124,651-08140,-,0,ON,0,12,651082,SS,Area 2,651,SANSOME ST,814,90,-122.4020552,37.7979575,,,106,8
125,203-04480,-,0,ON,0,2,203044,SS,Area 1,203,03RD ST,448,225,-122.3963626,37.7816171,3rd St: Unit -600 2nd St:,Bryant 300-600 / Harrison 600,32,34
126,670-01460,670-01004,46,ON,0,2,670012,MS,Area 1,670,STILLMAN ST,146,315,-122.397542,37.7808703,Harrison St: 600,Harrison St: 600 Stillman St: 10,32,34
127,418-07630,-,0,ON,0,2,418073,SS,Area 1,418,FOLSOM ST,763,135,-122.4005875,37.7823539,Folsom St: Unit-800 1st:,Folsom 500-800,32,34
128,401-03230,-,0,ON,0,13,401031,SS,Area 2,401,ELLIS ST,323,180,-122.411957,37.7849106,Ellis St: Unit - 900,Ellis Unit-300,20,36
129,445-01040,-,0,ON,0,12,445012,SS,Area 3,445,GREEN ST,104,0,-122.4017265,37.8004809,Broadway St: Unit - 800,Battery: 800 - 1200 Sansome,77,8
130,616-12040,-,0,ON,0,12,616122,SS,Area 3,616,POWELL ST,1204,90,-122.4098548,37.7958358,Powell St: 1000 - 1700,Powell: 1000 - 1700,104,6
131,650-16120,-,0,ON,0,15,650162,SS,Area 3,650,SACRAMENTO ST,1612,0,-122.4196649,37.791702,Sacramento 1600-1700,Sacramento 1600- 1700,105,21
132,600-06230,-,0,ON,0,12,600061,SS,Area 2,600,PACIFIC AVE,623,180,-122.4063103,37.7969266,Jackson St: Unit - 800,Pacific: 600 - 800,104,6
133,720-02120,720-02002,12,ON,0,1,720022,MS,Area 1,720,WASHINGTON ST,212,0,-122.3987361,37.7961609,Washington St: 200 - 400,"Washington St: 200, 300, 500",77,8
134,691-00430,-,0,ON,0,12,691001,SS,Area 3,691,UNION ST,43,180,-122.4013648,37.8013529,Broadway St: Unit - 800,Battery: 800 - 1200,77,8
135,330-03670,-,0,ON,0,2,330031,SS,Area 1,330,BRANNAN ST,367,135,-122.3933632,37.7807033,Brannan St: 200 - 500,5th & Brannan,31,8
136,203-01510,-,0,ON,0,1,203011,SS,Area 1,203,03RD ST,151,45,-122.4007714,37.7853685,3rd St: Unit -600 2nd St:,Bryant 300-600 / Harrison 600,32,8
137,204-12140,-,0,ON,0,2,204122,SS,Area 3,204,04TH ST,1214,270,-122.39145857,37.77229263,4th St: 1200-1700 China Basin,MISSION BAY,34,4
138,684-05041,684-05001,4,ON,0,14,684051,MS,Area 3,684,TOWNSEND ST,511,135,-122.39948782,37.77337643,Townsend St: 100 - 500,Townsend St. 300 - 500,34,4
139,869-00280,-,0,ON,0,2,869002,SS,-,869,TERRY A FRANCOIS BLVD,28,180,-122.3887946,37.7762649,,,34,4
140,691-00360,-,0,ON,0,12,691002,SS,Area 3,691,UNION ST,36,0,-122.401261,37.8014871,Broadway St: Unit - 800,Battery: 800 - 1200,77,8
141,644-03500,-,0,ON,0,2,644032,SS,Area 1,644,RITCH ST,350,225,-122.3936047,37.7786315,Brannan St: 200 - 500,5th & Brannan,32,34
142,670-01280,670-01002,28,ON,0,2,670012,MS,Area 1,670,STILLMAN ST,128,315,-122.3969329,37.7813509,Harrison St: 600,Harrison St: 600 Stillman St: 10,32,34
143,205-06130,-,0,ON,0,2,205061,SS,Area 2,205,05TH ST,613,45,-122.39835016,37.77636667,,,32,34
144,359-09320,-,0,ON,0,12,359092,SS,Area 3,359,CLAY ST,932,0,-122.4090682,37.7939525,Clay St: 100 - 900,Clay: 100 - 900,104,6
145,470-12430,-,0,ON,0,14,470121,SS,Area 2,470,HOWARD ST,1243,135,-122.4124861,37.7754122,Howard St: 800 - 1600,Howard 1400-900,32,34
146,209-01310,-,0,ON,0,14,209011,SS,Area 2,209,09TH ST,131,45,-122.4139123,37.775713,9th St: Unit - 300 10th St,9th St Unit-300,32,34
147,327-02160,-,0,ON,0,12,327022,SS,Area 3,327,BROADWAY,216,0,-122.4016812,37.7985812,Broadway St: Unit - 800,Broadway,77,8
148,684-04105,684-04100,5,ON,0,14,684042,MS,-,684,TOWNSEND ST,410,315,-122.3976815,37.7751171,,,32,4
149,336-12130,-,0,ON,0,15,336121,SS,Area 3,336,BUSH ST,1213,180,-122.4174661,37.788987,Bush: 1100 - 1500,Bush: 1100-1500,50,21
150,359-07030,-,0,ON,0,1,359071,SS,Area 2,359,CLAY ST,703,180,-122.4049913,37.794389,Clay St: 100 - 900,Clay: 100 - 900,104,6
151,830-00330,-,0,ON,0,1,830001,SS,Port 5,830,EMBARCADERO NORTH,33,225,-122.3949465,37.7957805,Embarcadero North Port,Embarcadero North | Unit-600,108,8
152,612-14040,-,0,ON,0,15,612142,SS,Area 3,612,POLK ST,1404,90,-122.4204527,37.7898067,,,105,21
153,373-02170,-,0,ON,0,2,373021,SS,Area 3,373,CHANNEL ST,217,135,-122.39204997,37.77396434,4th St: 1200-1700 China Basin,China Basin,34,4
154,471-04100,-,0,ON,0,2,471042,SS,Area 1,471,HARRISON ST,410,315,-122.3924516,37.7865772,Harrison St: 400 - 800,Harrison 400-700,30,8
155,208-02610,-,0,ON,0,14,208021,SS,Area 2,208,08TH ST,253,45,-122.4102844,37.7752795,4th St: Unit 400 5th St:,4th St,32,34
156,207-01160,-,0,ON,0,14,207012,SS,Area 2,207,07TH ST,116,225,-122.4106093,37.7788301,4th St: Unit 400 5th St:,4th St,32,34
157,666-08050,-,0,ON,0,13,666081,SS,Area 3,666,SUTTER ST,805,180,-122.4138335,37.788499,Bush St: 100 - 900 Sutter St,Sutter: Unit - 800,50,21
158,831-04320,-,0,ON,0,2,831041,SS,Port 7,831,EMBARCADERO SOUTH,432,270,-122.3882405,37.7886419,South Embarcadero,South Embarcadero 400-700,30,8
159,324-09240,-,0,ON,0,12,324092,SS,Area 3,324,BATTERY ST,924,90,-122.40128436,37.80013592,Broadway St: Unit - 800,Battery: 800 - 1200,77,8
160,551-00400,-,0,ON,0,2,551002,SS,Area 1,551,LAPU-LAPU ST,40,45,-122.3985471,37.781888,Harrison St: 400 - 800,Harrison 400-700,32,34
161,336-05280,-,0,ON,0,1,336052,SS,Area 1,336,BUSH ST,528,0,-122.40642901,37.79052046,Bush St: 100 - 900 Sutter St,Bush: 400 - 900,104,8
162,412-00450,-,0,ON,0,15,412001,SS,Area 3,412,FERN ST,45,180,-122.4199975,37.7882205,,,50,21
163,359-17550,-,0,ON,0,15,359171,SS,Area 3,359,CLAY ST,1755,180,-122.4223747,37.7921614,Sacramento 1600-1700,Sacramento 1600- 1700,105,21
164,442-03300,-,0,ON,0,3,442032,SS,Area 2,442,GOLDEN GATE AVE,330,0,-122.4164557,37.7815986,Golden Gate Ave: Unit - 700,Golden Gate Unit-700,20,36
165,204-05420,204-05006,42,ON,0,2,204052,MS,-,204,04TH ST,542,225,-122.39697933,37.7785703,,,32,34
166,442-03200,-,0,ON,0,3,442032,SS,Area 2,442,GOLDEN GATE AVE,320,0,-122.4161748,37.7816333,Golden Gate Ave: Unit - 700,Golden Gate Unit-700,20,36
167,401-03140,-,0,ON,0,13,401032,SS,Area 2,401,ELLIS ST,314,0,-122.411751,37.785061,Ellis St: Unit - 900,Ellis Unit-300,20,36
168,720-06260,-,0,ON,0,1,720062,SS,Area 1,720,WASHINGTON ST,626,0,-122.40446868,37.79543788,Washington St: Unit - 800,Washington: 600 - 900,104,6
169,500-04180,500-04004,18,ON,0,1,500042,MS,Area 2,500,JACKSON ST,418,0,-122.4025573,37.7965758,Jackson St: 300 - 400,Jackson St: 300 - 400,106,6
170,204-12090,-,0,ON,0,2,204121,SS,-,204,04TH ST,1209,90,-122.39121901,37.77247676,,,34,4
171,400-02070,-,0,ON,0,13,400021,SS,Area 2,400,EDDY ST,207,180,-122.4112956,37.784041,Eddy St: 100 - 900,Eddy: 100-800,20,36
172,470-06730,-,0,ON,0,1,470063,SS,Area 1,470,HOWARD ST,673,135,-122.3998108,37.7854298,Howard St: Unit - 600 Bryan St,Howard Unit-600,32,8
173,470-06580,-,0,ON,0,1,470064,SS,Area 1,470,HOWARD ST,658,315,-122.3997078,37.7857379,Howard St: Unit - 600 Bryan St,Howard Unit-600,32,8
174,359-01100,-,0,ON,0,1,359012,SS,Area 1,359,CLAY ST,110,0,-122.397253,37.7954509,Clay St: 100 - 900,Clay: 100 - 900,108,8
175,209-01460,-,0,ON,0,14,209012,SS,Area 2,209,09TH ST,146,225,-122.41375251,37.77534241,9th St: Unit - 300 10th St,9th St Unit-300,32,34
176,606-14190,-,0,ON,0,15,606141,SS,Area 3,606,PINE ST,1419,180,-122.4194262,37.7896881,California: 1400 - 1700,California: 1400- 1700,50,21
177,470-08250,-,0,ON,0,1,470081,SS,Area 2,470,HOWARD ST,825,135,-122.403299,37.7826739,Howard St: 800 - 1600,Howard 1400-900,32,34
178,202-07120,-,0,ON,0,2,202072,SS,Area 1,202,02ND ST,712,225,-122.3902385,37.780268,3rd St: Unit -600 2nd St:,Bryant 300-600 / Harrison 600,31,4
179,340-00443,-,0,ON,0,2,340002,SS,Area 2,340,BLUXOME ST,44,315,-122.39699282,37.7768277,Brannan St: 200 - 500,Bluxome St Unit block,32,34
180,830-04170,-,0,ON,0,1,830041,SS,Port 5,830,EMBARCADERO NORTH,417,225,-122.3972707,37.7985122,Embarcadero North Port,Embarcadero North | Unit-600,77,8
181,606-05420,-,0,ON,0,1,606052,SS,Area 1,606,PINE ST,542,0,-122.4056483,37.7915688,California: Unit - 900 Pine St,Pine: Unit - 600,104,8
182,821-05620,-,0,ON,0,2,821052,SS,Port 10,821,BEALE ST,562,225,-122.3888439,37.7854885,Beale st and Delancy St,Beale St 500,31,8
