,POST_ID,MS_PAY_STATION_ID,MS_SPACE_NUM,ON_OFFSTREET_TYPE,OSP_ID,PM_DISTRICT_ID,BLOCKFACE_ID,METER_TYPE,OLD_RATE_AREA,STREET_ID,STREET_NAME,STREET_NUM,ORIENTATION,LONGITUDE,LATITUDE,COLLECTION_ROUTE_DESC,COLLECTION_SUBROUTE_DESC,Neighborhoods,Analysis Neighborhoods
3622,336-12380,-,0,ON,0,15,336122,SS,Area 3,336,BUSH ST,1238,0,-122.41824692,37.7890214,Bush: 1100 - 1500,Bush: 1100- 1500,50,21
3623,324-08040,-,0,ON,0,12,324082,SS,Area 3,324,BATTERY ST,804,90,-122.40100442,37.7987507,Broadway St: Unit - 800,Battery: 800 - 1200,77,8
3624,205-01680,-,0,ON,0,1,205012,SS,-,205,05TH ST,168,225,-122.4053404,37.7817022,,,32,34
3625,470-11250,-,0,ON,0,14,470111,SS,Area 2,470,HOWARD ST,1125,135,-122.4100764,37.7773178,Howard St: 800 - 1600,Howard 1400-900,32,34
3626,359-08210,-,0,ON,0,12,359081,SS,Area 2,359,CLAY ST,821,180,-122.4069854,37.794136,Clay St: 100 - 900,Clay: 100 - 900,104,6
3627,568-10760,-,0,ON,0,14,568102,SS,Area 2,568,MISSION ST,1076,315,-122.4104942,37.7796599,Mission St: Unit - 1600,Mission 700-1100,32,34
3628,571-08070,-,0,ON,0,12,571081,SS,Area 2,571,MONTGOMERY ST,807,270,-122.4036006,37.7966441,Montgomery St: 800 - 900,Montgomery: 700 - 800,106,6
3629,831-05110,-,0,ON,0,2,831052,SS,Port 9,831,EMBARCADERO SOUTH,511,90,-122.3876308,37.7868009,South Embarcadero,South Embarcadero 400-700,31,8
3630,327-04170,-,0,ON,0,12,327041,SS,Area 3,327,BROADWAY,417,180,-122.4044678,37.7980645,Broadway St: Unit - 800,Broadway,106,23
3631,571-07030,571-07001,3,ON,0,1,571071,MS,Area 1,571,MONTGOMERY ST,703,270,-122.4034462,37.7958709,Montgomery St: 700,Montgomery St: 700,106,6
3632,328-02090,-,0,ON,0,1,328021,SS,Area 1,328,BEALE ST,209,45,-122.3938404,37.7896973,,,108,8
3633,446-00100,-,0,ON,0,3,446002,SS,Area 2,446,GROVE ST,10,0,-122.4153059,37.7788674,Hyde St: Unit - 1000,Hyde Unit-600,21,36
3634,324-00250,-,0,ON,0,1,324001,SS,Area 1,324,BATTERY ST,25,270,-122.3997858,37.7919779,Sansome St: Unit-800 Battery S,Sansome: Unit - 800 Halleck,108,8
3635,202-06200,-,0,ON,0,2,202062,SS,-,202,02ND ST,620,225,-122.3916002,37.7813432,,,31,8
3636,359-17350,-,0,ON,0,15,359171,SS,Area 3,359,CLAY ST,1735,180,-122.42183336,37.79223017,Sacramento 1600-1700,Sacramento 1600- 1700,105,21
3637,205-02320,-,0,ON,0,1,205022,SS,-,205,05TH ST,232,225,-122.40423013,37.7808163,,,32,34
3638,470-06050,-,0,ON,0,1,470061,SS,Area 1,470,HOWARD ST,605,135,-122.39841195,37.78653495,Howard St: Unit - 600 Bryan St,Howard Unit-600,32,8
3639,650-07390,-,0,ON,0,1,650071,SS,Area 2,650,SACRAMENTO ST,739,180,-122.4059331,37.793356,Sacramento St: 100 - 800,Sacramento: 100 - 800,104,6
3640,471-02260,471-02002,26,ON,0,2,471022,MS,Area 1,471,HARRISON ST,226,315,-122.3911355,37.7876176,Harrison St: 600,Harrison St: 600 Stillman St: 10,30,8
3641,331-03440,-,0,ON,0,2,331032,SS,Area 1,331,BRYANT ST,344,315,-122.3924568,37.78401159,Bryant St: 300-600 Stillman St,Bryant: 600,31,8
3642,423-01570,423-01003,57,ON,0,3,423011,MS,Area 2,423,FULTON ST,157,180,-122.41622145,37.77950893,Grove St: Fulton St: McAlliste,"Grove St. Unit - 100, Fulton St.",21,36
3643,720-01140,-,0,ON,0,1,720012,SS,Area 1,720,WASHINGTON ST,114,0,-122.3975672,37.7963098,Washington St: Unit - 800,Washington: 600 - 900,77,8
3644,205-03400,-,0,ON,0,2,205032,SS,-,205,05TH ST,340,225,-122.4025326,37.7794589,,,32,34
3645,831-06640,-,0,ON,0,2,831061,SS,Port 9,831,EMBARCADERO SOUTH,664,270,-122.3884338,37.7825749,South Embarcadero,South Embarcadero 400-700,31,8
3646,417-00100,-,0,ON,0,15,417002,SS,-,417,FRANK NORRIS ST,10,0,-122.4193559,37.78932763,,,50,21
3647,470-14210,-,0,ON,0,14,470141,SS,Area 3,470,HOWARD ST,1421,135,-122.4148471,37.7735514,Howard St: 800 - 1600,Howard 1400-900,32,34
3648,684-05575,684-05570,5,ON,0,14,684051,MS,-,684,TOWNSEND ST,557,135,-122.4006972,37.7724228,,,34,4
3649,336-08150,-,0,ON,0,13,336081,SS,Area 1,336,BUSH ST,815,180,-122.4109223,37.7898207,Bush St: 100 - 900 Sutter St,Bush: 200 - 900,50,21
3650,470-00600,-,0,ON,0,1,470002,SS,Area 1,470,HOWARD ST,60,315,-122.3920585,37.7917634,Howard St: Unit - 600 Bryan St,Howard Unit-600,108,8
3651,606-06140,-,0,ON,0,12,606062,SS,Area 2,606,PINE ST,614,0,-122.4062829,37.7914891,California: Unit - 900 Pine St,Pine: Unit - 600,104,8
3652,328-02170,-,0,ON,0,1,328021,SS,Area 1,328,BEALE ST,217,45,-122.3936288,37.7895291,,,108,8
3653,878-00630,-,0,ON,0,11,878001,SS,Port 6,878,VALLEJO ST,63,180,-122.3991736,37.7997302,Green St; Vallejo St; Front St,Green,77,8
3654,568-13210,-,0,ON,0,14,568131,SS,Area 2,568,MISSION ST,1321,135,-122.4151894,37.7757392,Mission St: Unit - 1600,Mission 700-1100,32,34
